"ANO","NIVEL","CODIGO","TVV","TVRC","TVVF","TVVM","TVCF","TVCM","TVMF","TVMM","TVC_22_34","TVC_35_45","IMVCF","DPVCF","IVCF_P25","IVCF_P50","IVCF_P75","IMVMM","DPVMM","IVMM_P25","IVMM_P50","IVMM_P75","TPIC","TAIC","TGIC"
2025,"UF",33,50,48,27,23,15,14,12,9,16,13,33,8.07111250961459,27.5,32,38.5,34.1111111111111,7.73699625895677,27,31,39,3,9,2
2025,"MUNICIPIO",330010,3,3,1,2,1,0,0,2,1,0,30,NA,30,30,30,38,9.89949493661167,34.5,38,41.5,1,0,0
2025,"MUNICIPIO",330070,3,3,2,1,2,0,0,1,1,1,29.5,7.77817459305202,26.75,29.5,32.25,38,NA,38,38,38,0,0,1
2025,"MUNICIPIO",330100,5,5,2,3,1,2,1,1,3,0,32,NA,32,32,32,39,NA,39,39,39,1,1,0
2025,"MUNICIPIO",330170,4,4,2,2,0,2,2,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
2025,"MUNICIPIO",330270,3,3,2,1,2,0,0,1,0,2,45,0,45,45,45,27,NA,27,27,27,0,0,0
2025,"MUNICIPIO",330330,5,4,3,2,2,1,1,1,3,0,26.5,6.36396103067893,24.25,26.5,28.75,45,NA,45,45,45,0,1,1
2025,"MUNICIPIO",330350,6,6,3,3,2,1,1,2,2,1,33.5,16.2634559672906,27.75,33.5,39.25,26.5,0.707106781186548,26.25,26.5,26.75,0,1,0
2025,"MUNICIPIO",330390,5,5,3,2,1,2,2,0,1,2,32,NA,32,32,32,NA,NA,NA,NA,NA,0,1,0
2025,"MUNICIPIO",330455,7,6,4,3,2,3,2,0,4,1,27.5,3.53553390593274,26.25,27.5,28.75,NA,NA,NA,NA,NA,1,3,0
2025,"MUNICIPIO",330490,5,5,3,2,2,1,1,1,0,3,38.5,2.12132034355964,37.75,38.5,39.25,29,NA,29,29,29,0,1,0
2025,"MUNICIPIO",330620,4,4,2,2,0,2,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
